idx,bus_line,bus_line_passage,bus_stop,bus_time,metro_stop,metro_time_from_origin,origin_ref,date
22,Metro,Metro,Portagem,06:30:00,Portagem,07:50:00,Portela do Mondego,2026-05-11
23,Metro,Metro,Portagem,07:00:00,Portagem,08:30:00,Portela do Mondego,2026-05-11
24,Metro,Metro,Portagem,07:30:00,Portagem,09:10:00,Portela do Mondego,2026-05-11
25,Metro,Metro,Portagem,07:40:00,Portagem,09:50:00,Portela do Mondego,2026-05-11
26,Metro,Metro,Portagem,07:50:00,Portagem,10:30:00,Portela do Mondego,2026-05-11
27,Metro,Metro,Portagem,08:00:00,Portagem,11:10:00,Portela do Mondego,2026-05-11
28,Metro,Metro,Portagem,08:10:00,Portagem,11:50:00,Portela do Mondego,2026-05-11
29,Metro,Metro,Portagem,08:20:00,Portagem,12:30:00,Portela do Mondego,2026-05-11
30,Metro,Metro,Portagem,08:30:00,Portagem,13:10:00,Portela do Mondego,2026-05-11
31,Metro,Metro,Portagem,08:40:00,Portagem,13:50:00,Portela do Mondego,2026-05-11
32,Metro,Metro,Portagem,08:50:00,Portagem,14:30:00,Portela do Mondego,2026-05-11
33,Metro,Metro,Portagem,09:00:00,Portagem,15:10:00,Portela do Mondego,2026-05-11
34,Metro,Metro,Portagem,09:10:00,Portagem,15:50:00,Portela do Mondego,2026-05-11
35,Metro,Metro,Portagem,09:20:00,Portagem,16:30:00,Portela do Mondego,2026-05-11
36,Metro,Metro,Portagem,09:30:00,Portagem,17:10:00,Portela do Mondego,2026-05-11
37,Metro,Metro,Portagem,10:00:00,Portagem,17:50:00,Portela do Mondego,2026-05-11
38,Metro,Metro,Portagem,10:30:00,Portagem,18:30:00,Portela do Mondego,2026-05-11
39,Metro,Metro,Portagem,11:00:00,Portagem,19:10:00,Portela do Mondego,2026-05-11
40,Metro,Metro,Portagem,11:30:00,Portagem,19:50:00,Portela do Mondego,2026-05-11
41,Metro,Metro,Portagem,12:00:00,Portagem,20:30:00,Portela do Mondego,2026-05-11
42,Metro,Metro,Portagem,12:30:00,Portagem,21:12:00,Portela do Mondego,2026-05-11
